#    L    TT             EE             TE             PP             TP          
   216   0.551482E+04   0.750798E+00   0.660696E+01   0.253100E+07   0.209564E+04
   217   0.551730E+04   0.767291E+00   0.810830E+01   0.251881E+07   0.207852E+04
   218   0.551919E+04   0.785173E+00   0.962266E+01   0.250671E+07   0.206152E+04
   219   0.552048E+04   0.804487E+00   0.111494E+02   0.249470E+07   0.204465E+04
   220   0.552116E+04   0.825262E+00   0.126879E+02   0.248278E+07   0.202790E+04
   221   0.552125E+04   0.847527E+00   0.142377E+02   0.247095E+07   0.201128E+04
   222   0.552072E+04   0.871325E+00   0.157981E+02   0.245921E+07   0.199478E+04
   223   0.551958E+04   0.896678E+00   0.173685E+02   0.244756E+07   0.197841E+04
   224   0.551784E+04   0.923622E+00   0.189483E+02   0.243600E+07   0.196216E+04
   225   0.551551E+04   0.952178E+00   0.205367E+02   0.242452E+07   0.194603E+04
   226   0.551257E+04   0.982390E+00   0.221333E+02   0.241313E+07   0.193002E+04
   227   0.550902E+04   0.101429E+01   0.237373E+02   0.240182E+07   0.191413E+04
   228   0.550488E+04   0.104789E+01   0.253481E+02   0.239060E+07   0.189836E+04
   229   0.550015E+04   0.108323E+01   0.269650E+02   0.237945E+07   0.188271E+04
   230   0.549481E+04   0.112034E+01   0.285874E+02   0.236839E+07   0.186717E+04
   231   0.548888E+04   0.115924E+01   0.302146E+02   0.235742E+07   0.185176E+04
   232   0.548237E+04   0.119996E+01   0.318459E+02   0.234652E+07   0.183646E+04
   233   0.547526E+04   0.124253E+01   0.334806E+02   0.233570E+07   0.182127E+04
   234   0.546756E+04   0.128697E+01   0.351180E+02   0.232496E+07   0.180621E+04
   235   0.545929E+04   0.133331E+01   0.367575E+02   0.231430E+07   0.179125E+04
   236   0.545041E+04   0.138157E+01   0.383984E+02   0.230372E+07   0.177641E+04
   237   0.544097E+04   0.143177E+01   0.400398E+02   0.229321E+07   0.176169E+04
   238   0.543095E+04   0.148394E+01   0.416812E+02   0.228278E+07   0.174707E+04
   239   0.542035E+04   0.153808E+01   0.433219E+02   0.227242E+07   0.173257E+04
   240   0.540919E+04   0.159423E+01   0.449609E+02   0.226213E+07   0.171818E+04
   241   0.539745E+04   0.165241E+01   0.465978E+02   0.225192E+07   0.170389E+04
   242   0.538516E+04   0.171263E+01   0.482318E+02   0.224178E+07   0.168972E+04
   243   0.537230E+04   0.177491E+01   0.498620E+02   0.223172E+07   0.167566E+04
   244   0.535890E+04   0.183927E+01   0.514880E+02   0.222172E+07   0.166170E+04
   245   0.534494E+04   0.190573E+01   0.531088E+02   0.221179E+07   0.164786E+04
   246   0.533046E+04   0.197428E+01   0.547240E+02   0.220193E+07   0.163411E+04
   247   0.531543E+04   0.204496E+01   0.563327E+02   0.219214E+07   0.162048E+04
   248   0.529988E+04   0.211777E+01   0.579343E+02   0.218241E+07   0.160695E+04
   249   0.528380E+04   0.219273E+01   0.595280E+02   0.217275E+07   0.159352E+04
   250   0.526720E+04   0.226985E+01   0.611131E+02   0.216316E+07   0.158020E+04
   251   0.525009E+04   0.234912E+01   0.626888E+02   0.215363E+07   0.156698E+04
   252   0.523246E+04   0.243057E+01   0.642543E+02   0.214417E+07   0.155387E+04
   253   0.521432E+04   0.251418E+01   0.658090E+02   0.213476E+07   0.154085E+04
   254   0.519568E+04   0.260000E+01   0.673519E+02   0.212542E+07   0.152793E+04
   255   0.517652E+04   0.268799E+01   0.688824E+02   0.211615E+07   0.151512E+04
   256   0.515686E+04   0.277818E+01   0.703997E+02   0.210693E+07   0.150240E+04
   257   0.513671E+04   0.287058E+01   0.719032E+02   0.209778E+07   0.148978E+04
   258   0.511608E+04   0.296516E+01   0.733919E+02   0.208869E+07   0.147726E+04
   259   0.509498E+04   0.306196E+01   0.748663E+02   0.207966E+07   0.146483E+04
   260   0.507343E+04   0.316096E+01   0.763241E+02   0.207069E+07   0.145250E+04
   261   0.505142E+04   0.326216E+01   0.777662E+02   0.206178E+07   0.144026E+04
   262   0.502899E+04   0.336557E+01   0.791910E+02   0.205292E+07   0.142812E+04
   263   0.500614E+04   0.347118E+01   0.805986E+02   0.204413E+07   0.141606E+04
   264   0.498287E+04   0.357899E+01   0.819876E+02   0.203539E+07   0.140410E+04
   265   0.495919E+04   0.368899E+01   0.833586E+02   0.202671E+07   0.139223E+04
   266   0.493510E+04   0.380116E+01   0.847095E+02   0.201809E+07   0.138044E+04
   267   0.491062E+04   0.391550E+01   0.860396E+02   0.200953E+07   0.136875E+04
   268   0.488574E+04   0.403200E+01   0.873496E+02   0.200102E+07   0.135714E+04
   269   0.486047E+04   0.415064E+01   0.886373E+02   0.199257E+07   0.134562E+04
   270   0.483481E+04   0.427142E+01   0.899035E+02   0.198417E+07   0.133419E+04
   271   0.480879E+04   0.439432E+01   0.911460E+02   0.197583E+07   0.132284E+04
   272   0.478239E+04   0.451932E+01   0.923655E+02   0.196754E+07   0.131157E+04
   273   0.475566E+04   0.464640E+01   0.935606E+02   0.195930E+07   0.130039E+04
   274   0.472857E+04   0.477556E+01   0.947321E+02   0.195112E+07   0.128929E+04
   275   0.470114E+04   0.490675E+01   0.958776E+02   0.194299E+07   0.127827E+04
   276   0.467340E+04   0.503998E+01   0.969981E+02   0.193492E+07   0.126733E+04
   277   0.464534E+04   0.517522E+01   0.980921E+02   0.192689E+07   0.125647E+04
   278   0.461698E+04   0.531244E+01   0.991587E+02   0.191892E+07   0.124568E+04
   279   0.458832E+04   0.545162E+01   0.100199E+03   0.191100E+07   0.123498E+04
   280   0.455939E+04   0.559272E+01   0.101211E+03   0.190313E+07   0.122435E+04
   281   0.453017E+04   0.573572E+01   0.102195E+03   0.189530E+07   0.121380E+04
   282   0.450069E+04   0.588060E+01   0.103151E+03   0.188753E+07   0.120332E+04
   283   0.447096E+04   0.602731E+01   0.104077E+03   0.187981E+07   0.119291E+04
   284   0.444097E+04   0.617584E+01   0.104973E+03   0.187213E+07   0.118258E+04
   285   0.441076E+04   0.632615E+01   0.105839E+03   0.186450E+07   0.117232E+04
   286   0.438031E+04   0.647820E+01   0.106674E+03   0.185692E+07   0.116213E+04
   287   0.434965E+04   0.663195E+01   0.107479E+03   0.184939E+07   0.115201E+04
   288   0.431879E+04   0.678738E+01   0.108252E+03   0.184190E+07   0.114196E+04
   289   0.428773E+04   0.694445E+01   0.108994E+03   0.183446E+07   0.113198E+04
   290   0.425648E+04   0.710311E+01   0.109703E+03   0.182706E+07   0.112206E+04
   291   0.422507E+04   0.726334E+01   0.110380E+03   0.181971E+07   0.111222E+04
   292   0.419349E+04   0.742502E+01   0.111024E+03   0.181241E+07   0.110243E+04
   293   0.416174E+04   0.758821E+01   0.111635E+03   0.180515E+07   0.109271E+04
   294   0.412986E+04   0.775285E+01   0.112212E+03   0.179793E+07   0.108306E+04
   295   0.409783E+04   0.791878E+01   0.112755E+03   0.179075E+07   0.107347E+04
   296   0.406567E+04   0.808609E+01   0.113264E+03   0.178362E+07   0.106394E+04
   297   0.403338E+04   0.825462E+01   0.113737E+03   0.177653E+07   0.105447E+04
   298   0.400099E+04   0.842437E+01   0.114175E+03   0.176948E+07   0.104506E+04
   299   0.396849E+04   0.859527E+01   0.114578E+03   0.176247E+07   0.103571E+04
   300   0.393590E+04   0.876725E+01   0.114945E+03   0.175550E+07   0.102641E+04
   301   0.390324E+04   0.894039E+01   0.115277E+03   0.174858E+07   0.101718E+04
   302   0.387050E+04   0.911445E+01   0.115573E+03   0.174169E+07   0.100800E+04
   303   0.383772E+04   0.928953E+01   0.115833E+03   0.173484E+07   0.998880E+03
   304   0.380488E+04   0.946554E+01   0.116057E+03   0.172803E+07   0.989817E+03
   305   0.377203E+04   0.964242E+01   0.116245E+03   0.172126E+07   0.980812E+03
   306   0.373914E+04   0.982016E+01   0.116397E+03   0.171453E+07   0.971865E+03
   307   0.370624E+04   0.999863E+01   0.116512E+03   0.170784E+07   0.962977E+03
   308   0.367335E+04   0.101778E+02   0.116590E+03   0.170119E+07   0.954146E+03
   309   0.364046E+04   0.103577E+02   0.116632E+03   0.169457E+07   0.945374E+03
   310   0.360758E+04   0.105380E+02   0.116638E+03   0.168799E+07   0.936661E+03
   311   0.357474E+04   0.107189E+02   0.116606E+03   0.168145E+07   0.928006E+03
   312   0.354192E+04   0.109003E+02   0.116537E+03   0.167494E+07   0.919410E+03
   313   0.350916E+04   0.110821E+02   0.116430E+03   0.166848E+07   0.910874E+03
   314   0.347645E+04   0.112642E+02   0.116287E+03   0.166205E+07   0.902396E+03
   315   0.344380E+04   0.114465E+02   0.116106E+03   0.165565E+07   0.893978E+03
   316   0.341123E+04   0.116292E+02   0.115888E+03   0.164929E+07   0.885620E+03
   317   0.337875E+04   0.118118E+02   0.115633E+03   0.164297E+07   0.877321E+03
   318   0.334637E+04   0.119946E+02   0.115341E+03   0.163668E+07   0.869082E+03
   319   0.331408E+04   0.121774E+02   0.115011E+03   0.163043E+07   0.860904E+03
   320   0.328191E+04   0.123602E+02   0.114645E+03   0.162421E+07   0.852785E+03
   321   0.324987E+04   0.125429E+02   0.114243E+03   0.161803E+07   0.844727E+03
