#           k/h    P           
   0.258483E+01   0.383049E+00
   0.263705E+01   0.368900E+00
   0.269032E+01   0.355346E+00
   0.274466E+01   0.342360E+00
   0.280011E+01   0.329917E+00
   0.285668E+01   0.317993E+00
   0.291439E+01   0.306565E+00
   0.297326E+01   0.295612E+00
   0.303332E+01   0.285112E+00
   0.309460E+01   0.275044E+00
   0.315712E+01   0.265389E+00
   0.322090E+01   0.256130E+00
   0.328596E+01   0.247247E+00
   0.335234E+01   0.238724E+00
   0.342006E+01   0.230546E+00
   0.348916E+01   0.222696E+00
   0.355964E+01   0.215161E+00
   0.363155E+01   0.207927E+00
   0.370491E+01   0.200980E+00
   0.377976E+01   0.194308E+00
   0.385611E+01   0.187897E+00
   0.393401E+01   0.181737E+00
   0.401348E+01   0.175816E+00
   0.409456E+01   0.170123E+00
   0.417727E+01   0.164648E+00
   0.426166E+01   0.159381E+00
   0.434775E+01   0.154315E+00
   0.443558E+01   0.149439E+00
   0.452519E+01   0.144745E+00
   0.461660E+01   0.140226E+00
   0.470987E+01   0.135873E+00
   0.480501E+01   0.131679E+00
   0.490208E+01   0.127637E+00
   0.500111E+01   0.123741E+00
   0.510214E+01   0.119983E+00
   0.520521E+01   0.116358E+00
   0.531036E+01   0.112861E+00
   0.541763E+01   0.109485E+00
   0.552708E+01   0.106225E+00
   0.563873E+01   0.103077E+00
   0.575264E+01   0.100035E+00
   0.586885E+01   0.970955E-01
   0.598741E+01   0.942539E-01
   0.610836E+01   0.915061E-01
   0.623176E+01   0.888482E-01
   0.635765E+01   0.862764E-01
   0.648609E+01   0.837872E-01
   0.661711E+01   0.813773E-01
   0.675079E+01   0.790434E-01
   0.688716E+01   0.767826E-01
   0.702629E+01   0.745919E-01
   0.716823E+01   0.724683E-01
   0.731304E+01   0.704091E-01
   0.746077E+01   0.684115E-01
   0.761149E+01   0.664731E-01
   0.776525E+01   0.645915E-01
   0.792212E+01   0.627643E-01
   0.808217E+01   0.609895E-01
   0.824543E+01   0.592650E-01
   0.841200E+01   0.575889E-01
   0.858193E+01   0.559594E-01
   0.875530E+01   0.543749E-01
   0.893217E+01   0.528345E-01
   0.911261E+01   0.513369E-01
   0.929670E+01   0.498812E-01
   0.948451E+01   0.484661E-01
   0.967610E+01   0.470909E-01
   0.987158E+01   0.457542E-01
   0.100710E+02   0.444553E-01
   0.102744E+02   0.431931E-01
   0.104820E+02   0.419666E-01
