#    L    TT             EE             BB             TE          
   157   0.443412E+04   0.102583E+01   0.782226E-02  -0.442435E+02
   158   0.446409E+04   0.101842E+01   0.793212E-02  -0.441072E+02
   159   0.449382E+04   0.101067E+01   0.804297E-02  -0.439458E+02
   160   0.452331E+04   0.100260E+01   0.815484E-02  -0.437592E+02
   161   0.455252E+04   0.994221E+00   0.826771E-02  -0.435472E+02
   162   0.458146E+04   0.985555E+00   0.838160E-02  -0.433096E+02
   163   0.461011E+04   0.976628E+00   0.849649E-02  -0.430462E+02
   164   0.463845E+04   0.967440E+00   0.861240E-02  -0.427568E+02
   165   0.466649E+04   0.958013E+00   0.872931E-02  -0.424412E+02
   166   0.469420E+04   0.948368E+00   0.884724E-02  -0.420994E+02
   167   0.472159E+04   0.938527E+00   0.896618E-02  -0.417312E+02
   168   0.474863E+04   0.928511E+00   0.908613E-02  -0.413367E+02
   169   0.477533E+04   0.918342E+00   0.920708E-02  -0.409157E+02
   170   0.480167E+04   0.908036E+00   0.932904E-02  -0.404682E+02
   171   0.482765E+04   0.897620E+00   0.945201E-02  -0.399941E+02
   172   0.485327E+04   0.887117E+00   0.957597E-02  -0.394935E+02
   173   0.487850E+04   0.876547E+00   0.970092E-02  -0.389661E+02
   174   0.490334E+04   0.865934E+00   0.982687E-02  -0.384121E+02
   175   0.492779E+04   0.855313E+00   0.995380E-02  -0.378317E+02
   176   0.495184E+04   0.844699E+00   0.100817E-01  -0.372247E+02
   177   0.497547E+04   0.834128E+00   0.102106E-01  -0.365911E+02
   178   0.499867E+04   0.823620E+00   0.103405E-01  -0.359310E+02
   179   0.502145E+04   0.813198E+00   0.104713E-01  -0.352445E+02
   180   0.504380E+04   0.802897E+00   0.106031E-01  -0.345316E+02
   181   0.506570E+04   0.792745E+00   0.107358E-01  -0.337925E+02
   182   0.508715E+04   0.782772E+00   0.108695E-01  -0.330273E+02
   183   0.510815E+04   0.772998E+00   0.110041E-01  -0.322362E+02
   184   0.512868E+04   0.763460E+00   0.111396E-01  -0.314193E+02
   185   0.514875E+04   0.754193E+00   0.112761E-01  -0.305765E+02
   186   0.516833E+04   0.745218E+00   0.114135E-01  -0.297084E+02
   187   0.518744E+04   0.736565E+00   0.115518E-01  -0.288148E+02
   188   0.520606E+04   0.728273E+00   0.116909E-01  -0.278962E+02
   189   0.522417E+04   0.720372E+00   0.118310E-01  -0.269526E+02
   190   0.524179E+04   0.712895E+00   0.119719E-01  -0.259844E+02
   191   0.525890E+04   0.705871E+00   0.121137E-01  -0.249919E+02
   192   0.527549E+04   0.699336E+00   0.122564E-01  -0.239751E+02
   193   0.529155E+04   0.693321E+00   0.123999E-01  -0.229344E+02
   194   0.530710E+04   0.687861E+00   0.125442E-01  -0.218701E+02
   195   0.532210E+04   0.682990E+00   0.126894E-01  -0.207825E+02
   196   0.533658E+04   0.678743E+00   0.128354E-01  -0.196720E+02
   197   0.535052E+04   0.675155E+00   0.129822E-01  -0.185390E+02
   198   0.536394E+04   0.672261E+00   0.131297E-01  -0.173838E+02
   199   0.537679E+04   0.670094E+00   0.132781E-01  -0.162067E+02
   200   0.538911E+04   0.668691E+00   0.134272E-01  -0.150082E+02
   201   0.540088E+04   0.668086E+00   0.135771E-01  -0.137885E+02
   202   0.541209E+04   0.668315E+00   0.137278E-01  -0.125483E+02
   203   0.542272E+04   0.669413E+00   0.138792E-01  -0.112877E+02
   204   0.543278E+04   0.671416E+00   0.140313E-01  -0.100072E+02
   205   0.544223E+04   0.674360E+00   0.141841E-01  -0.870721E+01
   206   0.545108E+04   0.678278E+00   0.143376E-01  -0.738813E+01
   207   0.545932E+04   0.683208E+00   0.144918E-01  -0.605031E+01
   208   0.546695E+04   0.689185E+00   0.146467E-01  -0.469431E+01
   209   0.547398E+04   0.696243E+00   0.148023E-01  -0.332065E+01
   210   0.548041E+04   0.704418E+00   0.149585E-01  -0.192986E+01
   211   0.548624E+04   0.713748E+00   0.151153E-01  -0.522483E+00
   212   0.549149E+04   0.724264E+00   0.152728E-01   0.900958E+00
   213   0.549616E+04   0.736004E+00   0.154309E-01   0.233993E+01
