#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   108   0.284401E+04  -0.274291E+02   0.336165E-03  -0.274291E+02   0.860531E+00  -0.743585E-06   0.336165E-03  -0.743585E-06   0.100535E-06
   109   0.287543E+04  -0.280590E+02   0.332373E-03  -0.280590E+02   0.873236E+00  -0.729999E-06   0.332373E-03  -0.729999E-06   0.999115E-07
   110   0.290702E+04  -0.286852E+02   0.328633E-03  -0.286852E+02   0.885677E+00  -0.719447E-06   0.328633E-03  -0.719447E-06   0.992924E-07
   111   0.293875E+04  -0.293073E+02   0.324937E-03  -0.293073E+02   0.897845E+00  -0.712463E-06   0.324937E-03  -0.712463E-06   0.986775E-07
   112   0.297063E+04  -0.299245E+02   0.321286E-03  -0.299245E+02   0.909735E+00  -0.708933E-06   0.321286E-03  -0.708933E-06   0.980668E-07
   113   0.300265E+04  -0.305364E+02   0.317679E-03  -0.305364E+02   0.921323E+00  -0.708576E-06   0.317679E-03  -0.708576E-06   0.974603E-07
   114   0.303481E+04  -0.311425E+02   0.314118E-03  -0.311425E+02   0.932596E+00  -0.711113E-06   0.314118E-03  -0.711113E-06   0.968579E-07
   115   0.306709E+04  -0.317421E+02   0.310603E-03  -0.317421E+02   0.943552E+00  -0.716265E-06   0.310603E-03  -0.716265E-06   0.962598E-07
   116   0.309949E+04  -0.323347E+02   0.307134E-03  -0.323347E+02   0.954178E+00  -0.723754E-06   0.307134E-03  -0.723754E-06   0.956658E-07
   117   0.313202E+04  -0.329198E+02   0.303711E-03  -0.329198E+02   0.964452E+00  -0.733299E-06   0.303711E-03  -0.733299E-06   0.950760E-07
   118   0.316464E+04  -0.334968E+02   0.300336E-03  -0.334968E+02   0.974372E+00  -0.744622E-06   0.300336E-03  -0.744622E-06   0.944904E-07
   119   0.319737E+04  -0.340652E+02   0.297008E-03  -0.340652E+02   0.983926E+00  -0.757443E-06   0.297008E-03  -0.757443E-06   0.939090E-07
   120   0.323019E+04  -0.346245E+02   0.293729E-03  -0.346245E+02   0.993104E+00  -0.771483E-06   0.293729E-03  -0.771483E-06   0.933318E-07
   121   0.326309E+04  -0.351740E+02   0.290498E-03  -0.351740E+02   0.100189E+01  -0.786464E-06   0.290498E-03  -0.786464E-06   0.927588E-07
   122   0.329607E+04  -0.357134E+02   0.287316E-03  -0.357134E+02   0.101029E+01  -0.802105E-06   0.287316E-03  -0.802105E-06   0.921900E-07
   123   0.332911E+04  -0.362420E+02   0.284184E-03  -0.362420E+02   0.101827E+01  -0.818128E-06   0.284184E-03  -0.818128E-06   0.916253E-07
   124   0.336222E+04  -0.367592E+02   0.281102E-03  -0.367592E+02   0.102584E+01  -0.834253E-06   0.281102E-03  -0.834253E-06   0.910649E-07
   125   0.339538E+04  -0.372646E+02   0.278070E-03  -0.372646E+02   0.103300E+01  -0.850202E-06   0.278070E-03  -0.850202E-06   0.905087E-07
   126   0.342858E+04  -0.377577E+02   0.275089E-03  -0.377577E+02   0.103971E+01  -0.865694E-06   0.275089E-03  -0.865694E-06   0.899567E-07
   127   0.346181E+04  -0.382379E+02   0.272160E-03  -0.382379E+02   0.104600E+01  -0.880452E-06   0.272160E-03  -0.880452E-06   0.894088E-07
   128   0.349507E+04  -0.387048E+02   0.269283E-03  -0.387048E+02   0.105184E+01  -0.894195E-06   0.269283E-03  -0.894195E-06   0.888652E-07
   129   0.352835E+04  -0.391579E+02   0.266458E-03  -0.391579E+02   0.105722E+01  -0.906644E-06   0.266458E-03  -0.906644E-06   0.883258E-07
   130   0.356164E+04  -0.395964E+02   0.263685E-03  -0.395964E+02   0.106215E+01  -0.917521E-06   0.263685E-03  -0.917521E-06   0.877906E-07
   131   0.359492E+04  -0.400201E+02   0.260966E-03  -0.400201E+02   0.106661E+01  -0.926611E-06   0.260966E-03  -0.926611E-06   0.872595E-07
   132   0.362821E+04  -0.404285E+02   0.258298E-03  -0.404285E+02   0.107062E+01  -0.933956E-06   0.258298E-03  -0.933956E-06   0.867327E-07
   133   0.366147E+04  -0.408210E+02   0.255680E-03  -0.408210E+02   0.107414E+01  -0.939666E-06   0.255680E-03  -0.939666E-06   0.862100E-07
   134   0.369472E+04  -0.411972E+02   0.253111E-03  -0.411972E+02   0.107720E+01  -0.943849E-06   0.253111E-03  -0.943849E-06   0.856914E-07
   135   0.372793E+04  -0.415567E+02   0.250588E-03  -0.415567E+02   0.107978E+01  -0.946613E-06   0.250588E-03  -0.946613E-06   0.851769E-07
   136   0.376111E+04  -0.418989E+02   0.248110E-03  -0.418989E+02   0.108188E+01  -0.948066E-06   0.248110E-03  -0.948066E-06   0.846665E-07
   137   0.379425E+04  -0.422234E+02   0.245674E-03  -0.422234E+02   0.108350E+01  -0.948316E-06   0.245674E-03  -0.948316E-06   0.841602E-07
   138   0.382734E+04  -0.425299E+02   0.243281E-03  -0.425299E+02   0.108464E+01  -0.947472E-06   0.243281E-03  -0.947472E-06   0.836578E-07
   139   0.386036E+04  -0.428179E+02   0.240927E-03  -0.428179E+02   0.108530E+01  -0.945641E-06   0.240927E-03  -0.945641E-06   0.831594E-07
   140   0.389333E+04  -0.430870E+02   0.238611E-03  -0.430870E+02   0.108547E+01  -0.942933E-06   0.238611E-03  -0.942933E-06   0.826650E-07
   141   0.392621E+04  -0.433368E+02   0.236331E-03  -0.433368E+02   0.108517E+01  -0.939454E-06   0.236331E-03  -0.939454E-06   0.821745E-07
   142   0.395902E+04  -0.435669E+02   0.234086E-03  -0.435669E+02   0.108440E+01  -0.935314E-06   0.234086E-03  -0.935314E-06   0.816879E-07
   143   0.399174E+04  -0.437769E+02   0.231874E-03  -0.437769E+02   0.108314E+01  -0.930621E-06   0.231874E-03  -0.930621E-06   0.812052E-07
   144   0.402436E+04  -0.439666E+02   0.229693E-03  -0.439666E+02   0.108142E+01  -0.925482E-06   0.229693E-03  -0.925482E-06   0.807263E-07
   145   0.405688E+04  -0.441353E+02   0.227542E-03  -0.441353E+02   0.107922E+01  -0.920007E-06   0.227542E-03  -0.920007E-06   0.802513E-07
   146   0.408927E+04  -0.442828E+02   0.225418E-03  -0.442828E+02   0.107656E+01  -0.914302E-06   0.225418E-03  -0.914302E-06   0.797800E-07
