#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.140038E+00   0.109582E+07   0.108888E+07   0.624658E+01   0.609063E+01   0.000000E+00   0.109475E+07   0.109475E+07   0.109475E+07  -0.522533E-01   0.960801E+06   0.960594E+06   0.443606E+00
   0.145438E+00   0.103701E+07   0.102971E+07   0.547989E+01   0.534308E+01   0.000000E+00   0.103588E+07   0.103588E+07   0.103588E+07  -0.494433E-01   0.909135E+06   0.908922E+06   0.438976E+00
   0.150837E+00   0.979068E+06   0.971252E+06   0.480920E+01   0.468913E+01   0.000000E+00   0.977862E+06   0.977862E+06   0.977862E+06  -0.466741E-01   0.858219E+06   0.857998E+06   0.438894E+00
   0.156237E+00   0.924826E+06   0.916591E+06   0.423355E+01   0.412786E+01   0.000000E+00   0.923555E+06   0.923555E+06   0.923555E+06  -0.440819E-01   0.810559E+06   0.810333E+06   0.433198E+00
   0.161636E+00   0.876726E+06   0.868352E+06   0.374932E+01   0.365571E+01   0.000000E+00   0.875434E+06   0.875434E+06   0.875434E+06  -0.417851E-01   0.768327E+06   0.768102E+06   0.416374E+00
   0.167035E+00   0.836142E+06   0.827984E+06   0.334821E+01   0.326462E+01   0.000000E+00   0.834883E+06   0.834883E+06   0.834883E+06  -0.398496E-01   0.732738E+06   0.732522E+06   0.387761E+00
   0.172435E+00   0.802843E+06   0.795219E+06   0.301682E+01   0.294150E+01   0.000000E+00   0.801666E+06   0.801666E+06   0.801666E+06  -0.382641E-01   0.703584E+06   0.703382E+06   0.350502E+00
   0.177834E+00   0.775246E+06   0.768361E+06   0.273919E+01   0.267080E+01   0.000000E+00   0.774183E+06   0.774183E+06   0.774183E+06  -0.369523E-01   0.679462E+06   0.679278E+06   0.309843E+00
   0.183234E+00   0.751226E+06   0.745131E+06   0.250051E+01   0.243808E+01   0.000000E+00   0.750286E+06   0.750286E+06   0.750286E+06  -0.358117E-01   0.658486E+06   0.658320E+06   0.271324E+00
   0.188633E+00   0.728714E+06   0.723314E+06   0.228897E+01   0.223183E+01   0.000000E+00   0.727881E+06   0.727881E+06   0.727881E+06  -0.347423E-01   0.638821E+06   0.638670E+06   0.239288E+00
   0.194033E+00   0.705994E+06   0.701092E+06   0.209606E+01   0.204373E+01   0.000000E+00   0.705238E+06   0.705238E+06   0.705238E+06  -0.336615E-01   0.618948E+06   0.618808E+06   0.215999E+00
   0.199432E+00   0.682029E+06   0.677386E+06   0.191679E+01   0.186894E+01   0.000000E+00   0.681312E+06   0.681312E+06   0.681312E+06  -0.325195E-01   0.597949E+06   0.597815E+06   0.201465E+00
   0.204831E+00   0.656710E+06   0.652114E+06   0.174956E+01   0.170588E+01   0.000000E+00   0.656000E+06   0.656000E+06   0.656000E+06  -0.313114E-01   0.575735E+06   0.575602E+06   0.193876E+00
   0.210231E+00   0.630713E+06   0.626021E+06   0.159498E+01   0.155516E+01   0.000000E+00   0.629989E+06   0.629989E+06   0.629989E+06  -0.300698E-01   0.552907E+06   0.552774E+06   0.190395E+00
   0.215630E+00   0.605079E+06   0.600239E+06   0.145435E+01   0.141804E+01   0.000000E+00   0.604332E+06   0.604332E+06   0.604332E+06  -0.288452E-01   0.530391E+06   0.530255E+06   0.188026E+00
   0.221030E+00   0.580860E+06   0.575910E+06   0.132865E+01   0.129547E+01   0.000000E+00   0.580096E+06   0.580096E+06   0.580097E+06  -0.276884E-01   0.509121E+06   0.508985E+06   0.184357E+00
   0.226429E+00   0.558895E+06   0.553933E+06   0.121809E+01   0.118768E+01   0.000000E+00   0.558129E+06   0.558129E+06   0.558129E+06  -0.266399E-01   0.489842E+06   0.489708E+06   0.178004E+00
   0.231829E+00   0.539602E+06   0.534753E+06   0.112188E+01   0.109387E+01   0.000000E+00   0.538854E+06   0.538854E+06   0.538854E+06  -0.257199E-01   0.472925E+06   0.472795E+06   0.168719E+00
